nvars,nclauses,rep,direct_status,fusion_status,fusion_verified,z3_status,agreement,direct_seconds,fusion_seconds,fusion_steps
50,213,53,UNKNOWN,UNKNOWN,False,SAT,True,0.014540442999987135,0.028088574000321387,0
50,213,54,UNKNOWN,UNKNOWN,False,SAT,True,0.01422424400016098,0.027803242999652866,0
50,213,55,UNKNOWN,UNKNOWN,False,SAT,True,0.014299659000243992,0.02777212499995585,0
50,213,56,UNKNOWN,UNKNOWN,False,SAT,True,0.014850531999854866,0.02937372799988225,0
50,213,57,UNKNOWN,UNKNOWN,False,SAT,True,0.014453520999722969,0.027763363000303798,0
50,213,58,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014309243000298011,0.028061243000138347,0
50,213,59,UNKNOWN,UNKNOWN,False,SAT,True,0.014108389999819337,0.027702340000359982,0
50,213,60,UNKNOWN,UNKNOWN,False,SAT,True,0.014395372999842948,0.027825626999856468,0
50,213,61,UNKNOWN,UNKNOWN,False,SAT,True,0.014400040000055014,0.027949023000019224,0
50,213,62,UNKNOWN,UNKNOWN,False,SAT,True,0.01436970399981874,0.0631082019999667,1
50,213,63,UNKNOWN,UNKNOWN,False,SAT,True,0.015946980000080657,0.028488880000168137,0
50,213,64,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014559532000021136,0.06641623600035018,2
50,213,65,UNKNOWN,UNKNOWN,False,SAT,True,0.014875548999953025,0.06226624900000388,1
50,213,66,UNKNOWN,UNKNOWN,False,SAT,True,0.014953317000163224,0.028101984999921115,0
50,213,67,UNKNOWN,UNKNOWN,False,SAT,True,0.014341441999931703,0.027591042000040034,0
50,213,68,UNKNOWN,UNKNOWN,False,SAT,True,0.01445519399976547,0.02768008600014582,0
50,213,69,UNKNOWN,UNKNOWN,False,SAT,True,0.01444062100017618,0.02779190599994763,0
50,213,70,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014345888000207196,0.030635635999715305,1
50,213,71,UNKNOWN,UNKNOWN,False,SAT,True,0.014481273000001238,0.02768035700000837,0
50,213,72,UNKNOWN,UNKNOWN,False,SAT,True,0.014678650999940146,0.027967560999968555,0
50,213,73,UNKNOWN,UNKNOWN,False,SAT,True,0.014127108000138833,0.027442316000360734,0
50,213,74,UNKNOWN,UNKNOWN,False,UNSAT,True,0.016216897999584035,0.0635280859996783,1
50,213,75,UNKNOWN,UNKNOWN,False,SAT,True,0.014622347000113223,0.02990666499999861,0
50,213,76,UNKNOWN,UNKNOWN,False,SAT,True,0.01431595300027766,0.027974120999715524,0
50,213,77,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014420961999803694,0.028179961999740044,0
50,213,78,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014046906000203307,0.0608538880001106,1
50,213,79,UNKNOWN,UNKNOWN,False,SAT,True,0.014601104000121268,0.027735805999782315,0
50,213,80,UNKNOWN,UNKNOWN,False,SAT,True,0.014201237999714067,0.027936030000091705,0
50,213,81,UNKNOWN,UNKNOWN,False,SAT,True,0.014530757000102312,0.027536263999991206,0
50,213,82,UNKNOWN,UNKNOWN,False,SAT,True,0.014328379999824392,0.027397242999995797,0
50,213,83,UNKNOWN,UNKNOWN,False,SAT,True,0.01443149699980495,0.026962334000018018,0
50,213,84,UNKNOWN,UNKNOWN,False,SAT,True,0.014227307000055589,0.02787387599983049,0
50,213,85,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014600544000131777,0.036018967000018165,1
50,213,86,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014370715000040946,0.028086226999676,0
