generation_depth,max_scope,new_operations,new_witnesses,relation_count,signature,step,table_size,witnesses
0,3,[],[],6,0x000100000000100000000400000000000000000000000000000000000000000014004,0,22,[]
1,3,[],[],4,0x000100000000100000000400000000000000000000000000000000000000000014004,1,12,[]
2,2,"[[2, 8], [2, 14], [3, 128], [3, 136], [3, 160], [3, 168], [3, 192], [3, 200], [3, 224], [3, 232], [3, 234], [3, 236], [3, 238], [3, 248], [3, 250], [3, 252], [3, 254]]","['and', 'or', 'majority']",3,0x550155010000110100000501000001010000000000000000000000000000000055004,2,5,"['and', 'or', 'majority']"
