birth_count,births,configuration,discovery_work,early_stop,endpoint_solver_cost,frontier,generation_depth,max_bitset_bytes,max_log_tuple_count,max_tuple_count,model,morphon,recursive_births,scope_grouping,scope_width,seed,success,total_bitset_bytes,total_tuple_count
2,2,no_recursive_birth,82,True,0,,1,1,3.0,7,LCA,horn,False,False,2,0,False,9,28
2,2,early_stop,143,True,0,,2,1,3.0,7,LCA,horn,True,False,2,0,True,9,26
4,4,full_elimination,148,False,0,,4,1,3.0,7,LCA,horn,True,False,2,0,True,11,26
2,2,legacy_scope_grouping,95,True,0,,2,1,3.0,7,LCA,horn,True,True,2,0,True,7,18
3,3,external_order,222,True,0,,3,1,3.0,7,LCA,horn,True,False,3,0,True,10,30
4,4,BCA,126,True,0,,3,1,3.0,7,BCA,horn,True,False,2,0,True,11,30
3,3,random_order,189,True,0,,3,1,3.0,7,LCA,horn,True,False,3,0,True,10,30
3,3,random_order,106,True,0,,3,1,3.0,7,LCA,horn,True,False,2,1,True,10,28
3,3,random_order,222,True,0,,3,1,3.0,7,LCA,horn,True,False,3,2,True,10,30
3,3,random_order,106,True,0,,3,1,3.0,7,LCA,horn,True,False,2,3,True,10,28
3,3,random_order,106,True,0,,2,1,3.0,7,LCA,horn,True,False,2,4,True,10,28
2,2,random_order,143,True,0,,2,1,3.0,7,LCA,horn,True,False,2,5,True,9,26
2,2,random_order,246,True,0,,2,1,3.0,7,LCA,horn,True,False,3,6,True,9,29
2,2,random_order,143,True,0,,2,1,3.0,7,LCA,horn,True,False,2,7,True,9,26
3,3,random_order,106,True,0,,2,1,3.0,7,LCA,horn,True,False,2,8,True,10,28
2,2,random_order,213,True,0,,2,1,3.0,7,LCA,horn,True,False,3,9,True,9,29
,2,exact_optimal,,True,,"[{""scope_width"": 2, ""max_tuple_count"": 7, ""total_tuple_count"": 26, ""max_log_tuple_count"": 3.0, ""max_bitset_bytes"": 1, ""total_bitset_bytes"": 9, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 143, ""endpoint_solver_cost"": 2}, {""scope_width"": 2, ""max_tuple_count"": 7, ""total_tuple_count"": 28, ""max_log_tuple_count"": 3.0, ""max_bitset_bytes"": 1, ""total_bitset_bytes"": 10, ""birth_count"": 3, ""generation_depth"": 2, ""discovery_work"": 106, ""endpoint_solver_cost"": 0}]",2,,,,LCA,horn,True,False,,0,True,,
